"KingdomName","YearUpTo","RedListCategory","NumSpp","NumAssessWithinKingdom","NumAssessWithinRLcat","PropSppKingdomNoDD","PropSppKingdomWithDD","PropSppAllTaxaByCat"
"CHROMISTA",1996,"Lower Risk/near threatened",0,0,217,0,0,0
"CHROMISTA",1996,"All Threatened",0,0,1693,0,0,0
"CHROMISTA",1998,"All Categories",0,0,8431,NA,1,0
"CHROMISTA",1998,"Near Threatened",0,0,0,0,0,0
"CHROMISTA",1998,"Vulnerable",0,0,3573,0,0,0
"CHROMISTA",1998,"Endangered",0,0,1219,0,0,0
"CHROMISTA",1998,"Least Concern",0,0,0,0,0,0
"CHROMISTA",1998,"Data Deficient",0,0,828,0,0,0
"CHROMISTA",1998,"Extinct",0,0,288,0,0,0
"CHROMISTA",1998,"Extinct in the Wild",0,0,16,0,0,0
"CHROMISTA",1998,"Critically Endangered",0,0,973,0,0,0
"CHROMISTA",1998,"Lower Risk/conservation dependent",0,0,202,0,0,0
"CHROMISTA",1998,"Lower Risk/least concern",0,0,574,0,0,0
"CHROMISTA",1998,"Lower Risk/near threatened",0,0,758,0,0,0
"CHROMISTA",1998,"All Threatened",0,0,6069,0,0,0
"CHROMISTA",2000,"All Categories",0,0,8924,NA,1,0
"CHROMISTA",2000,"Near Threatened",0,0,0,0,0,0
"CHROMISTA",2000,"Vulnerable",0,0,3697,0,0,0
"CHROMISTA",2000,"Endangered",0,0,1301,0,0,0
"CHROMISTA",2000,"Least Concern",0,0,0,0,0,0
"CHROMISTA",2000,"Data Deficient",0,0,845,0,0,0
"CHROMISTA",2000,"Extinct",0,0,352,0,0,0
"CHROMISTA",2000,"Extinct in the Wild",0,0,19,0,0,0
"CHROMISTA",2000,"Critically Endangered",0,0,1110,0,0,0
"CHROMISTA",2000,"Lower Risk/conservation dependent",0,0,205,0,0,0
"CHROMISTA",2000,"Lower Risk/least concern",0,0,603,0,0,0
"CHROMISTA",2000,"Lower Risk/near threatened",0,0,792,0,0,0
"CHROMISTA",2000,"All Threatened",0,0,6479,0,0,0
"CHROMISTA",2002,"All Categories",0,0,8927,NA,1,0
"CHROMISTA",2002,"Near Threatened",0,0,0,0,0,0
"CHROMISTA",2002,"Vulnerable",0,0,3697,0,0,0
"CHROMISTA",2002,"Endangered",0,0,1302,0,0,0
"CHROMISTA",2002,"Least Concern",0,0,0,0,0,0
"CHROMISTA",2002,"Data Deficient",0,0,845,0,0,0
"CHROMISTA",2002,"Extinct",0,0,352,0,0,0
"CHROMISTA",2002,"Extinct in the Wild",0,0,20,0,0,0
"CHROMISTA",2002,"Critically Endangered",0,0,1111,0,0,0
"CHROMISTA",2002,"Lower Risk/conservation dependent",0,0,205,0,0,0
"CHROMISTA",2002,"Lower Risk/least concern",0,0,603,0,0,0
"CHROMISTA",2002,"Lower Risk/near threatened",0,0,792,0,0,0
"CHROMISTA",2002,"All Threatened",0,0,6482,0,0,0
"CHROMISTA",2003,"All Categories",0,0,10274,NA,1,0
"CHROMISTA",2003,"Near Threatened",0,0,134,0,0,0
"CHROMISTA",2003,"Vulnerable",0,0,4135,0,0,0
"CHROMISTA",2003,"Endangered",0,0,1608,0,0,0
"CHROMISTA",2003,"Least Concern",0,0,71,0,0,0
"CHROMISTA",2003,"Data Deficient",0,0,1034,0,0,0
"CHROMISTA",2003,"Extinct",0,0,362,0,0,0
"CHROMISTA",2003,"Extinct in the Wild",0,0,23,0,0,0
"CHROMISTA",2003,"Critically Endangered",0,0,1307,0,0,0
"CHROMISTA",2003,"Lower Risk/conservation dependent",0,0,205,0,0,0
"CHROMISTA",2003,"Lower Risk/least concern",0,0,603,0,0,0
"CHROMISTA",2003,"Lower Risk/near threatened",0,0,792,0,0,0
"CHROMISTA",2003,"All Threatened",0,0,7435,0,0,0
"CHROMISTA",2004,"All Categories",0,0,15311,NA,1,0
"CHROMISTA",2004,"Near Threatened",0,0,434,0,0,0
"CHROMISTA",2004,"Vulnerable",0,0,5229,0,0,0
"CHROMISTA",2004,"Endangered",0,0,2505,0,0,0
"CHROMISTA",2004,"Least Concern",0,0,1439,0,0,0
"CHROMISTA",2004,"Data Deficient",0,0,1987,0,0,0
"CHROMISTA",2004,"Extinct",0,0,396,0,0,0
"CHROMISTA",2004,"Extinct in the Wild",0,0,24,0,0,0
"CHROMISTA",2004,"Critically Endangered",0,0,1697,0,0,0
"CHROMISTA",2004,"Lower Risk/conservation dependent",0,0,205,0,0,0
"CHROMISTA",2004,"Lower Risk/least concern",0,0,603,0,0,0
"CHROMISTA",2004,"Lower Risk/near threatened",0,0,792,0,0,0
"CHROMISTA",2004,"All Threatened",0,0,9851,0,0,0
"CHROMISTA",2006,"All Categories",0,0,16286,NA,1,0
"CHROMISTA",2006,"Near Threatened",0,0,488,0,0,0
"CHROMISTA",2006,"Vulnerable",0,0,5370,0,0,0
"CHROMISTA",2006,"Endangered",0,0,2627,0,0,0
"CHROMISTA",2006,"Least Concern",0,0,1794,0,0,0
"CHROMISTA",2006,"Data Deficient",0,0,2179,0,0,0
"CHROMISTA",2006,"Extinct",0,0,402,0,0,0
"CHROMISTA",2006,"Extinct in the Wild",0,0,24,0,0,0
"CHROMISTA",2006,"Critically Endangered",0,0,1802,0,0,0
"CHROMISTA",2006,"Lower Risk/conservation dependent",0,0,205,0,0,0
"CHROMISTA",2006,"Lower Risk/least concern",0,0,603,0,0,0
"CHROMISTA",2006,"Lower Risk/near threatened",0,0,792,0,0,0
"CHROMISTA",2006,"All Threatened",0,0,10225,0,0,0
"CHROMISTA",2007,"All Categories",15,15,17249,NA,1,0.000869615629891588
"CHROMISTA",2007,"Near Threatened",0,15,525,0,0,0
"CHROMISTA",2007,"Vulnerable",1,15,5434,0.166666666666667,0.0666666666666667,0.000184026499815973
"CHROMISTA",2007,"Endangered",1,15,2684,0.166666666666667,0.0666666666666667,0.0003725782414307
"CHROMISTA",2007,"Least Concern",0,15,2316,0,0,0
"CHROMISTA",2007,"Data Deficient",9,15,2419,1.5,0.6,0.00372054568003307
"CHROMISTA",2007,"Extinct",0,15,403,0,0,0
"CHROMISTA",2007,"Extinct in the Wild",0,15,24,0,0,0
"CHROMISTA",2007,"Critically Endangered",4,15,1844,0.666666666666667,0.266666666666667,0.00216919739696312
"CHROMISTA",2007,"Lower Risk/conservation dependent",0,15,205,0,0,0
"CHROMISTA",2007,"Lower Risk/least concern",0,15,603,0,0,0
"CHROMISTA",2007,"Lower Risk/near threatened",0,15,792,0,0,0
"CHROMISTA",2007,"All Threatened",6,15,10389,1,0.4,0.000577533930118394
"CHROMISTA",2008,"All Categories",15,15,20856,NA,1,0.00071921749136939
"CHROMISTA",2008,"Near Threatened",0,15,805,0,0,0
"CHROMISTA",2008,"Vulnerable",1,15,5955,0.166666666666667,0.0666666666666667,0.000167926112510495
"CHROMISTA",2008,"Endangered",1,15,2969,0.166666666666667,0.0666666666666667,0.000336813742000674
"CHROMISTA",2008,"Least Concern",0,15,3554,0,0,0
"CHROMISTA",2008,"Data Deficient",9,15,3476,1.5,0.6,0.0025891829689298
"CHROMISTA",2008,"Extinct",0,15,428,0,0,0
"CHROMISTA",2008,"Extinct in the Wild",0,15,26,0,0,0
"CHROMISTA",2008,"Critically Endangered",4,15,2043,0.666666666666667,0.266666666666667,0.00195790504160548
"CHROMISTA",2008,"Lower Risk/conservation dependent",0,15,205,0,0,0
"CHROMISTA",2008,"Lower Risk/least concern",0,15,603,0,0,0
"CHROMISTA",2008,"Lower Risk/near threatened",0,15,792,0,0,0
